naics,business,date,sales,adjusted,monthChange,yearChange
1*,"Retail and food services sales, total",1992-01-01,164095,true,NaN,NaN
2*,Retail sales and food services excl motor vehicle and parts,1992-01-01,130617,true,NaN,NaN
3*,Retail sales and food services excl gasoline stations,1992-01-01,151292,true,NaN,NaN
4*,Retail sales and food services excl motor vehicle and parts and gasoline stations,1992-01-01,117814,true,NaN,NaN
5*,"Retail sales, total",1992-01-01,146925,true,NaN,NaN
6*,"Retail sales, total (excl. motor vehicle and parts dealers)",1992-01-01,113447,true,NaN,NaN
7*,GAFO(1),1992-01-01,42785,true,NaN,NaN
441,Motor vehicle and parts dealers,1992-01-01,33478,true,NaN,NaN
"4411,4412",Automobile and other motor vehicle dealers,1992-01-01,30167,true,NaN,NaN
4413,"Automotive parts, acc., and tire stores",1992-01-01,3311,true,NaN,NaN
"442,443","Furniture, home furn, electronics, and appliance stores",1992-01-01,8128,true,NaN,NaN
442,Furniture and home furnishings stores,1992-01-01,4254,true,NaN,NaN
443,Electronics and appliance stores,1992-01-01,3874,true,NaN,NaN
444,Building mat. and garden equip. and supplies dealers,1992-01-01,10845,true,NaN,NaN
4441,Building mat. and supplies dealers,1992-01-01,9059,true,NaN,NaN
445,Food and beverage stores,1992-01-01,30437,true,NaN,NaN
4451,Grocery stores,1992-01-01,27835,true,NaN,NaN
4453,"Beer, wine and liquor stores",1992-01-01,1713,true,NaN,NaN
446,Health and personal care stores,1992-01-01,7421,true,NaN,NaN
44611,Pharmacies and drug stores,1992-01-01,6461,true,NaN,NaN
447,Gasoline stations,1992-01-01,12803,true,NaN,NaN
448,Clothing and clothing access. stores,1992-01-01,9716,true,NaN,NaN
4481,Clothing stores,1992-01-01,6758,true,NaN,NaN
44811,Men's clothing stores,1992-01-01,840,true,NaN,NaN
44812,Women's clothing stores,1992-01-01,2631,true,NaN,NaN
4482,Shoe stores,1992-01-01,1608,true,NaN,NaN
44831,Jewelry stores,1992-01-01,1248,true,NaN,NaN
451,"Sporting goods, hobby, musical instrument, and book stores",1992-01-01,3385,true,NaN,NaN
452,General merchandise stores,1992-01-01,19879,true,NaN,NaN
4521,Department stores,1992-01-01,14134,true,NaN,NaN
4529,Other general merchandise stores,1992-01-01,5745,true,NaN,NaN
45291,Warehouse clubs and superstores,1992-01-01,3063,true,NaN,NaN
45299,All other gen. merchandise stores,1992-01-01,2682,true,NaN,NaN
453,Miscellaneous stores retailers,1992-01-01,4318,true,NaN,NaN
454,Nonstore retailers,1992-01-01,6515,true,NaN,NaN
4541,Electronic shopping and mail order houses,1992-01-01,2668,true,NaN,NaN
45431,Fuel dealers,1992-01-01,1282,true,NaN,NaN
722,Food services and drinking places,1992-01-01,17170,true,NaN,NaN
1*,"Retail and food services sales, total",1992-02-01,164213,true,0.0007185789188432097,NaN
2*,Retail sales and food services excl motor vehicle and parts,1992-02-01,130396,true,-0.0016948372649467774,NaN
3*,Retail sales and food services excl gasoline stations,1992-02-01,151612,true,0.0021106508719626414,NaN
4*,Retail sales and food services excl motor vehicle and parts and gasoline stations,1992-02-01,117795,true,-0.00016129716881022114,NaN
5*,"Retail sales, total",1992-02-01,147223,true,0.0020241402498250953,NaN
6*,"Retail sales, total (excl. motor vehicle and parts dealers)",1992-02-01,113406,true,-0.00036153289949385393,NaN
7*,GAFO(1),1992-02-01,43318,true,0.012304353848284778,NaN
441,Motor vehicle and parts dealers,1992-02-01,33817,true,0.010024543868468521,NaN
"4411,4412",Automobile and other motor vehicle dealers,1992-02-01,30457,true,0.009521620645500214,NaN
4413,"Automotive parts, acc., and tire stores",1992-02-01,3360,true,0.014583333333333334,NaN
"442,443","Furniture, home furn, electronics, and appliance stores",1992-02-01,8246,true,0.014309968469560999,NaN
442,Furniture and home furnishings stores,1992-02-01,4342,true,0.02026715799170889,NaN
443,Electronics and appliance stores,1992-02-01,3904,true,0.007684426229508197,NaN
444,Building mat. and garden equip. and supplies dealers,1992-02-01,10904,true,0.0054108584005869405,NaN
4441,Building mat. and supplies dealers,1992-02-01,9084,true,0.0027520915896081023,NaN
445,Food and beverage stores,1992-02-01,30382,true,-0.0018102824040550326,NaN
4451,Grocery stores,1992-02-01,27720,true,-0.004148629148629149,NaN
4453,"Beer, wine and liquor stores",1992-02-01,1763,true,0.02836074872376631,NaN
446,Health and personal care stores,1992-02-01,7425,true,0.0005387205387205387,NaN
44611,Pharmacies and drug stores,1992-02-01,6458,true,-0.0004645401052957572,NaN
447,Gasoline stations,1992-02-01,12601,true,-0.016030473771922862,NaN
448,Clothing and clothing access. stores,1992-02-01,9712,true,-0.00041186161449752884,NaN
4481,Clothing stores,1992-02-01,6791,true,0.004859372699160654,NaN
44811,Men's clothing stores,1992-02-01,846,true,0.0070921985815602835,NaN
44812,Women's clothing stores,1992-02-01,2589,true,-0.016222479721900347,NaN
4482,Shoe stores,1992-02-01,1597,true,-0.0068879148403256105,NaN
44831,Jewelry stores,1992-02-01,1230,true,-0.014634146341463415,NaN
451,"Sporting goods, hobby, musical instrument, and book stores",1992-02-01,3516,true,0.03725824800910125,NaN
452,General merchandise stores,1992-02-01,20202,true,0.01598851598851599,NaN
4521,Department stores,1992-02-01,14472,true,0.023355444997236043,NaN
4529,Other general merchandise stores,1992-02-01,5730,true,-0.002617801047120419,NaN
45291,Warehouse clubs and superstores,1992-02-01,3109,true,0.014795754261820521,NaN
45299,All other gen. merchandise stores,1992-02-01,2621,true,-0.02327355971003434,NaN
453,Miscellaneous stores retailers,1992-02-01,4308,true,-0.002321262766945218,NaN
454,Nonstore retailers,1992-02-01,6110,true,-0.0662847790507365,NaN
4541,Electronic shopping and mail order houses,1992-02-01,2632,true,-0.013677811550151976,NaN
45431,Fuel dealers,1992-02-01,1177,true,-0.08920985556499575,NaN
722,Food services and drinking places,1992-02-01,16990,true,-0.01059446733372572,NaN
1*,"Retail and food services sales, total",1992-03-01,163721,true,-0.003005112355775985,NaN
2*,Retail sales and food services excl motor vehicle and parts,1992-03-01,130385,true,-0.00008436553284503586,NaN
3*,Retail sales and food services excl gasoline stations,1992-03-01,151082,true,-0.003508028752597927,NaN
4*,Retail sales and food services excl motor vehicle and parts and gasoline stations,1992-03-01,117746,true,-0.0004161500178350008,NaN
5*,"Retail sales, total",1992-03-01,146805,true,-0.0028473144647661866,NaN
6*,"Retail sales, total (excl. motor vehicle and parts dealers)",1992-03-01,113469,true,0.0005552177246648865,NaN
7*,GAFO(1),1992-03-01,43243,true,-0.001734384755914252,NaN
441,Motor vehicle and parts dealers,1992-03-01,33336,true,-0.014428845692344613,NaN
"4411,4412",Automobile and other motor vehicle dealers,1992-03-01,29891,true,-0.01893546552473989,NaN
4413,"Automotive parts, acc., and tire stores",1992-03-01,3445,true,0.02467343976777939,NaN
"442,443","Furniture, home furn, electronics, and appliance stores",1992-03-01,8246,true,0,NaN
442,Furniture and home furnishings stores,1992-03-01,4330,true,-0.002771362586605081,NaN
443,Electronics and appliance stores,1992-03-01,3916,true,0.0030643513789581204,NaN
