order,storm,intensity,casualties,damage (mn),peak wind,minimum pressure,start_date,end date,us affected,US_LAT,US_LON,US_STATE,COUNTRY_LAT,COUNTRY_LON,COUNTRY_SPECIFIC
1,ONE,td,0,0,30,1008,6/7/2000,6/8/2000,y,,,,,,
2,TWO,td,0,0,35,1008,6/23/2000,6/25/2000,n,,,,,,
3,ALBERTO,3,0,0,125,950,8/3/2000,8/23/2000,y,,,,,,
4,FOUR,td,0,0,35,1009,8/8/2000,8/11/2000,n,,,,,,
5,BERYL,ts,1,0.027,50,1007,8/13/2000,8/15/2000,y,,,,24.9,-98.6,Mexico
6,CHRIS,ts,0,0,40,1008,8/17/2000,8/19/2000,n,,,,,,
7,DEBBY,1,1,735,85,991,8/19/2000,8/24/2000,y,,,,,,
8,ERNESTO,ts,0,0,40,1008,9/1/2000,9/3/2000,n,,,,,,
9,NINE,td,0,0,35,1008,9/8/2000,9/9/2000,y,30,-94,Texas,30,-94,United States
10,FLORENCE,1,3,0,80,985,9/10/2000,9/17/2000,y,,,,,,
11,GORDON,1,26,10.8,80,981,9/14/2000,9/21/2000,y,29.8,-83,Florida,20.4,-87.4,Mexico
12,HELENE,ts,2,16,70,986,9/15/2000,9/25/2000,y,30.5,-86.6,Florida,30.5,-86.6,United States
13,ISAAC,4,1,0,140,943,9/21/2000,10/1/2000,y,,,,,,
14,JOYCE,1,0,NA,90,975,9/25/2000,10/2/2000,n,,,,,,
15,KEITH,4,40,319,140,939,9/28/2000,10/6/2000,n,,,,17.9,-88,Belize
16,LESLIE,ts,3,950,45,1006,10/4/2000,10/7/2000,y,29,-81.4,Florida,29,-81.4,United States
17,MICHAEL,2,0,NA,100,965,10/15/2000,10/20/20000,y,,,,48,-56.5,Canada
18,NADINE,ts,0,0,60,999,10/19/2000,10/21/2000,n,,,,,,
19,UNNAMED,ts,0,NA,65,976,10/19/2000,10/21/2000,y,,,,,,
1,ALLISON,ts,55,5500,60,1000,6/4/2001,6/18/2001,y,29.3,-95.3,Texas,29.3,-95.3,United States
2,TWO,td,0,0,35,1010,7/11/2001,7/12/2001,n,,,,,,
3,BARRY,ts,9,30,70,990,8/2/2001,8/8/2001,y,30.4,-86.3,Florida,30.4,-86.3,United States
4,CHANTAL,ts,2,4,75,997,8/14/2001,8/21/2001,n,,,,18.2,-88.1,Belize
5,DEAN,ts,0,7.7,70,994,8/22/2001,8/28/2001,n,,,,,,
6,ERIN,3,0,0,120,968,9/1/2001,9/15/2001,n,,,,60,-44.5,Greenland
7,FELIX,3,0,0,115,962,9/7/2001,9/19/2001,n,,,,,,
8,GABRIELLE,1,3,230,80,975,9/11/2001,9/19/2001,y,28,-81.8,Florida,28,-81.8,United States
9,NINE,td,0,0,35,1005,9/19/2001,9/20/2001,n,,,,13.9,-83.5,Nicaragua
10,HUMBERTO,2,0,0,105,970,9/21/2001,9/27/2001,n,,,,,,
11,IRIS,4,36,150,145,948,10/4/2001,10/9/2001,n,,,,16.2,-89.9,Guatemala
12,JERRY,ts,0,0,50,1004,10/6/2001,10/8/2001,n,,,,,,
13,KAREN,1,0,1.4,80,982,10/12/2001,10/15/2001,n,,,,44.2,-64.8,Canada
14,LORNEZO,ts,0,0,40,1007,10/27/2001,10/31/2001,n,,,,,,
15,MICHELLE,4,84,2000,140,933,10/29/2001,11/5/2001,n,,,,13.3,-83.6,Nicaragua
16,NOEL,1,0,0,75,986,11/4/2001,11/6/2001,n,,,,,,
17,OLGA,1,0,0,90,973,11/24/2001,12/4/2001,n,,,,,,
1,ARTHUR,ts,1,min,60,997,7/14/2002,7/16/2002,y,,,,48,-54,Canada
2,BERTHA,ts,1,0.2,40,1007,8/4/2002,8/9/2002,y,29.3,-89.2,Louisiana,29.3,-89.2,United States
3,CRISTOBAL,ts,3,min,50,999,8/5/2002,8/8/2002,y,,,,,,
4,DOLLY,ts,0,0,60,997,8/29/2002,9/4/2002,n,,,,,,
5,EDOUARD,ts,0,min,65,1002,9/1/2002,9/6/2002,y,29.4,-81.1,Florida,29.4,-81.1,United States
6,FAY,ts,0,4.5,60,998,9/5/2002,9/8/2002,y,29.1,-96.9,Texas,29.1,-96.9,United States
7,UNNAMED,td,0,0,35,1013,9/7/2002,9/8/2002,n,,,,,,
8,GUSTAV,2,4,0.34,100,960,9/8/2002,9/12/2002,y,,,,48.6,-57.7,Canada
9,HANNA,ts,3,20,60,1001,9/12/2002,9/15/2002,y,30.4,-88.4,Mississippi,30.4,-88.4,United States
10,ISIDORE,3,22,1300,125,934,9/14/2002,9/27/2002,y,30,-89.9,Louisiana,22,-84.1,Cuba
11,JOSEPHINE,ts,0,0,40,1005,9/17/2002,9/19/2002,n,,,,,,
12,KYLE,1,1,6,85,980,9/20/2002,10/12/2002,y,33.2,-79.3,South Carolina,33.2,-79.3,United States
13,LILI,4,15,882,145,938,9/21/2002,10/4/2002,y,30.5,-92.4,Louisiana,22.1,-84,Cuba
14,UNNAMED,td,0,min,35,1002,10/14/2002,10/16/2002,n,,,,22.4,-80.5,Cuba
1,ANA,ts,2,0,60,994,4/20/2003,4/24/2003,n,,,,,,
2,UNNAMED,td,0,0,35,1008,6/11/2003,6/12/2003,n,,,,,,
3,BILL,ts,4,50.5,60,997,6/28/2003,7/2/2003,y,29.3,-91,Louisiana,19.5,-89,Mexico
4,CLAUDETTE,1,3,181,90,979,7/8/2003,7/17/2003,y,28.6,-96.9,Texas,21.1,-87.2,Mexico
5,DANNY,1,0,0,75,1000,7/16/2003,7/21/2003,n,,,,,,
6,UNNAMED,td,0,0,35,1010,7/19/2003,7/21/2003,n,,,,,,
7,UNNAMED,td,0,0,35,1016,7/25/2003,7/27/2003,y,31.5,-81.3,Georgia,31.5,-81.3,United States
8,ERIKA,1,2,0.01,75,988,8/14/2003,8/17/2003,n,,,,25.3,-97.4,Mexico
9,UNNAMED,td,0,0.02,35,1007,8/21/2003,8/22/2003,n,,,,,,
10,FABIAN,4,8,300,145,939,8/27/2003,9/8/2003,n,,,,,,
11,GRACE,ts,0,0.1,40,1007,8/30/2003,9/2/2003,y,29.4,-95.1,Texas,29.4,-95.1,United States
